id,sku,name,price,currency,in_stock,categories,short_description,permalink
two-trees-z-axis-height-adjuster,3186,TWO TREES Z Axis Height Adjuster for TTS Pro/TTS-55/TTS-10 Laser Engraver,2170.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/two-trees-z-axis-height-adjuster
2mm-id-3mm-od-ptfe-tube-for-175mm-3d-printer-filament-white-1-feet,6467,2mm ID & 3mm OD PTFE Tube for 1.75mm 3D Printer Filament; White- 1 feet,99.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/2mm-id-3mm-od-ptfe-tube-for-175mm-3d-printer-filament-white-1-feet
57byg76-57-76-stepper-motor-3-0a-1-8nm-engraving-machine-57byg250-76,4327,57BYG76 57-76 stepper motor / 3.0A / 1.8Nm / engraving machine 57BYG250-76,3549.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/57byg76-57-76-stepper-motor-3-0a-1-8nm-engraving-machine-57byg250-76
nema-17hs4401-bipolar-stepper-motor,4274,NEMA 17HS4401 Bipolar Stepper Motor 1.8° 40N.cm 1.7A – High Precision Motor,1200.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/nema-17hs4401-bipolar-stepper-motor
cr10-hotend-extruder-kit-mk8-extruder-3d-printer-parts,4212,CR10 Hotend Extruder Kit MK8 Extruder 3D Printer Parts for Ender-3 CR10 Printer 1.75mm 0.4mm Nozzle j-head Heater Block parts,580.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/cr10-hotend-extruder-kit-mk8-extruder-3d-printer-parts
3d-printer-parts-1m-black-nylon-cable-drag-chain,4206,E3D Crater Heating Block – Hot End Nozzle Head for 3D Printer Accessories,240.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/3d-printer-parts-1m-black-nylon-cable-drag-chain
ptfe-tube-2mm-id-amp-4mm-od-for-1-75mm-3d-printer-filament-white-2-feet,4170,PTFE Tube (2mm ID & 4mm OD) for 1.75mm 3D Printer Filament; White- 2 feet,112.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/ptfe-tube-2mm-id-amp-4mm-od-for-1-75mm-3d-printer-filament-white-2-feet
high-quality-mk8-extruder-nozzles-0-2mm,4108,High Quality MK8 Extruder Nozzles 0.2mm Nozzle mk8 Extrusion 3D printer Nozzle,92.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/high-quality-mk8-extruder-nozzles-0-2mm
high-quality-mk8-extruder-nozzles-0-3mm,4107,High Quality MK8 Extruder Nozzles 0.3mm Nozzle mk8 Extrusion 3D printer Nozzle,88.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/high-quality-mk8-extruder-nozzles-0-3mm
high-quality-mk8-extruder-nozzles-0-6mm,4106,High Quality MK8 Extruder Nozzles 0.6mm Nozzle mk8 Extrusion 3D printer Nozzle,81.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/high-quality-mk8-extruder-nozzles-0-6mm
high-quality-mk8-extruder-nozzles-0-8mm,4105,High Quality MK8 Extruder Nozzles 0.8mm Nozzle mk8 Extrusion 3D printer Nozzle,88.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/high-quality-mk8-extruder-nozzles-0-8mm
high-quality-mk8-extruder-nozzles-1-0mm,4104,High Quality MK8 Extruder Nozzles 1.0mm Nozzle mk8 Extrusion 3D printer Nozzle,88.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/high-quality-mk8-extruder-nozzles-1-0mm
3d-printer-parts-black-mk3-hotbed-aluminum-heated-bed-24v,4088,3D Printer Parts black MK3 hotbed Aluminum heated bed for CR-10 Hot-bed 24V 310x310x3mm,2876.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/3d-printer-parts-black-mk3-hotbed-aluminum-heated-bed-24v
3d-printer-parts-black-mk3-hotbed-aluminum-heated-bed,4087,3D Printer Parts black MK3 hotbed Aluminum heated bed for CR-10 Hot-bed 12V 310x310x3mm,2876.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/3d-printer-parts-black-mk3-hotbed-aluminum-heated-bed
throat-pipe-stainless-steel-3d-printer-feeding-tube,4049,Throat Pipe Stainless Steel 3D Printer Feeding Tube Nozzle Heat Break Piping,110.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/throat-pipe-stainless-steel-3d-printer-feeding-tube
50x50cm-900w220v-silicone-heater-3d-printer-heated-bed-large-plate-heating-pad,3865,50x50cm 900w@220v silicone heater 3D Printer heated bed large plate heating pad,5103.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/50x50cm-900w220v-silicone-heater-3d-printer-heated-bed-large-plate-heating-pad
