id,sku,name,price,currency,in_stock,categories,short_description,permalink
diy-power-bank-case-tft-colour-display-fast-charging-22.5watt,diy-power-bank-case-tft-colour-display-fast-charging-22.5watt,DIY Power Bank Case TFT Colour Display for 21700 Battery Fast Charging 22.5W,1250,BDT,yes,,,https://makersbd.com/product/diy-power-bank-case-tft-colour-display-fast-charging-22.5watt
0436,0436,Type C Male-Female Connectors Jack Tail Terminals DIY Data Cable Support PCB Boa...,120,BDT,yes,,,https://makersbd.com/product/0436
copper-bit-for-908-soldering-iron-jyd,copper-bit-for-908-soldering-iron-jyd,60W 900M-T-K Copper Bit 908 Soldering Iron Bit JYD,130,BDT,yes,,,https://makersbd.com/product/copper-bit-for-908-soldering-iron-jyd
22.5w-fast-charging-ip5356-power-bank-circuit-brand-new-high-quality,22.5w-fast-charging-ip5356-power-bank-circuit-brand-new-high-quality,Fast Charging 22.5W Power Bank Circuit IP5356 PD QC Digital Display Brand New Hi...,290,BDT,yes,,,https://makersbd.com/product/22.5w-fast-charging-ip5356-power-bank-circuit-brand-new-high-quality
12.6v-3a-battery-pack-charger-auto-cut-air-dove,12.6v-3a-battery-pack-charger-auto-cut-air-dove,12.6V 3A Charger for 3S Lithium Battery Pack Full Charge Indicator Auto-Cut Air...,390,BDT,yes,,,https://makersbd.com/product/12.6v-3a-battery-pack-charger-auto-cut-air-dove
genuine-2600mah-nd-18650-li-ion-battery,genuine-2600mah-nd-18650-li-ion-battery,Genuine 2600mah Capacity 3.7V 18650 Brand New Lithium-Ion Battery ND18650,280,BDT,yes,,,https://makersbd.com/product/genuine-2600mah-nd-18650-li-ion-battery
s621-power-bank-circuit-22.5w-pd-qc-dash-wrap-vooc,s621-power-bank-circuit-22.5w-pd-qc-dash-wrap-vooc,S621 Power Bank Circuit 22.5W PD-QC DASH WRAP VOOC Charging,250,BDT,yes,,,https://makersbd.com/product/s621-power-bank-circuit-22.5w-pd-qc-dash-wrap-vooc
soldering-bit-cleaner-yellow-sponge,soldering-bit-cleaner-yellow-sponge,Soldering Bit Cleaner Sponge 56x56x1.5mm Yellow- 1Pc,30,BDT,yes,,,https://makersbd.com/product/soldering-bit-cleaner-yellow-sponge
4s-12v-100a-3.2v-lifepo4-balanced-bms-lithium-phosphate,4s-12v-100a-3.2v-lifepo4-balanced-bms-lithium-phosphate,4S 12V 100A BMS with Balance for 3.2V LiFePO4 Battery,890,BDT,yes,,,https://makersbd.com/product/4s-12v-100a-3.2v-lifepo4-balanced-bms-lithium-phosphate
soldering-rosin-solder-flux-30g,soldering-rosin-solder-flux-30g,Soldering Rosin Flux Paste 25g,60,BDT,yes,,,https://makersbd.com/product/soldering-rosin-solder-flux-30g
21700-5000mah-li-ion-battery-rechargeable,21700-5000mah-li-ion-battery-rechargeable,21700 3.7V 5000mAh Li-ion Rechargeable Flat Top Battery,390,BDT,yes,,,https://makersbd.com/product/21700-5000mah-li-ion-battery-rechargeable
