product,n_shops,n_rows,udvabony_price,udvabony_url,udvabony_name,techshopbd_price,techshopbd_url,techshopbd_name,makersbd_price,makersbd_url,makersbd_name,electronics.com.bd_price,electronics.com.bd_url,electronics.com.bd_name
"600Pcs Tolerance 1% 1M ,1K, 47K, 470K, 10K,10 OHM,100 OHM 20K, 22OHM Other 30 Values Resistor Carbon Film Resistor 1/4W Resistance 0.25 Watt Fixed Resistors 2 Pin Leads With Storage Box",1,151,0.4,https://udvabony.com/product/10k-ohm-1-4w-5-carbon-film-resistor/,10K Resistor 5% 10K Carbon Film Resistor 10K Resistor 1/4W Resistance 0.25 Watt Resistor 10K Ohm 5% Tolerance Fixed Resistors 2 Pin Leads,,,,,,,,,
Medium Quality 4700uF 50V Capacitor RADIAL Electrolytic Capacitor 4700uF Capacitor 50V 4700uF Radial Polarized Aluminum Electrolytic Capacitors 2 Pin Leads,1,30,2.0,https://udvabony.com/product/radial-47uf-electrolytic-capacitor-25v/,47uF 25V Capacitor RADIAL Electrolytic Capacitor 47uF Capacitor 25V 47uF Radial Polarized Aluminum Electrolytic Capacitors 2 Pin Leads,,,,,,,,,
801S Vibration Shock Sensor Module,1,1,290.0,https://udvabony.com/product/801s-vibration-shock-sensor-module/,801S Vibration Shock Sensor Module,,,,,,,,,
BT151-500R BT151-500 BT151 Thyristor 500V 12A TRIAC BT151 SCR Thyristor TO-220 Package Silicon Control Rectifier Thyristor 3 Pin Leads,1,1,40.0,https://udvabony.com/product/bt151-12a-500v-triac/,BT151-500R BT151-500 BT151 Thyristor 500V 12A TRIAC BT151 SCR Thyristor TO-220 Package Silicon Control Rectifier Thyristor 3 Pin Leads,,,,,,,,,
2WD Smart Robot Car Chassis Kit 2WD Multi-Functional 2WD Smart Robot Car Single Layer Acrylic Chassis Plate 26cm Kit Without Battery Holder For Arduinos Uno R3 Project,1,3,199.0,https://udvabony.com/product/4wd-smart-robot-diy-dc-motor-car-kit/,4WD Smart Robot DIY DC Motor Car Chassis Kit Multi-Functional Single Layer Plastic Plate 90cm Kit Without Battery Holder For General Purpose Project,,,,,,,,,
1 Inch Mini One Inch Nylon Caster Wheel 1 Inch Caster Wheel Tools Without Bearing & Without Lock For Smart Robot Car Wheel Project,1,1,30.0,https://udvabony.com/product/1-inch-round-polypropylene-caster-wheel/,1 Inch Mini One Inch Nylon Caster Wheel 1 Inch Caster Wheel Tools Without Bearing & Without Lock For Smart Robot Car Wheel Project,,,,,,,,,
2Amp 5V Chargers NORMAL Quality AC 220V To DC 5V 2A Power Supply Adapters With 5.5×2.1mm JACK & Cables Wall Plug Charger Power Supply 5V 2Amp Adapters,1,10,85.0,https://udvabony.com/product/9v-2a-power-adapter/,9V 2A Charger Adapters NORMAL Quality AC 220V To DC 9V 2Amp Charger 2 Pin Plug Power Supply Adapter Charger 9V Adapters 2A 9V Charger 2Amp Adapter,,,,,,,,,
12V 10Amp SMPS AC 220V To DC 12V 10A 120W Switching Mode Power Supply Adapters Charger SMPS Power Supply 12V 10A For Industrial 3D Printers CNC Machine 10A 12V SMPS,1,10,350.0,https://udvabony.com/product/smps-power-supply-12v-2a/,12V 2Amp SMPS AC 220V To DC 12V 2A 25W Switching Mode Power Supply Adapters Charger SMPS Power Supply 12V 2A For Industrial 3D Printers CNC Machine 2A 12V SMPS,,,,,,,,,
BLUE Circuit DC DC 0.9V-5V To 5V 600mAh Power Bank Circuit Step Up Boost Converter Power Supply Voltage Module USB Output Charging Adapters Circuit,1,2,50.0,https://udvabony.com/product/0-9-5v-600ma-usb-charger-dc-dc-converter/,BLUE Circuit DC DC 0.9V-5V To 5V 600mAh Power Bank Circuit Step Up Boost Converter Power Supply Voltage Module USB Output Charging Adapters Circuit,,,,,,,,,
ATMEGA8A-PU ATMEGA8A Microcontroller ATMEGA8 IC 16MHz DIP 28 Pin Leads AVR Microcontroller IC,1,1,220.0,https://udvabony.com/product/atmega8a-28-pin-16mhz-8kb-8-bit/,ATMEGA8A-PU ATMEGA8A Microcontroller ATMEGA8 IC 16MHz DIP 28 Pin Leads AVR Microcontroller IC,,,,,,,,,
