id,sku,name,price,currency,in_stock,categories,short_description,permalink
1048,u1048,10K Resistor 5% 10K Carbon Film Resistor 10K Resistor 1/4W Resistance 0.25 Watt Resistor 10K Ohm 5% Tolerance Fixed Resistors 2 Pin Leads,0.4,BDT,yes,Resistors | Fixed Resistors | 1/4 Watt 5% Resistor,10K Resistor 5% 10K Carbon Film Resistor 10K Resistor 1/4W Resistance 0.25 Watt Resistor 10K Ohm 5% Tolerance Fixed Resistors 2 Pin Leads,https://udvabony.com/product/10k-ohm-1-4w-5-carbon-film-resistor/
1106,u1106,47uF 25V Capacitor RADIAL Electrolytic Capacitor 47uF Capacitor 25V 47uF Radial Polarized Aluminum Electrolytic Capacitors 2 Pin Leads,2.0,BDT,yes,Capacitors | Electrolytic Capacitors,47uF 25V Electrolytic Capacitor 47uF 25V Radial Polarized Aluminum Electrolytic Capacitor Electronics Circuitry & Parts,https://udvabony.com/product/radial-47uf-electrolytic-capacitor-25v/
1200,u1200,801S Vibration Shock Sensor Module,290.0,BDT,yes,Sensors | Others Sensor,"This Vibration sensor is based on the Hi high precision vibration sensor 801S, it has a TTL output. The sensitivity of TTL output can be adjusted by the on-board potentiometer.",https://udvabony.com/product/801s-vibration-shock-sensor-module/
1202,u1202,BT151-500R BT151-500 BT151 Thyristor 500V 12A TRIAC BT151 SCR Thyristor TO-220 Package Silicon Control Rectifier Thyristor 3 Pin Leads,40.0,BDT,yes,"TRIAC,SCR & Optocoupler | TRIAC & SCR",BT151-500R BT151-500 BT151 500V 12A TRIAC SCR Thyristor TO-220 Package Silicon Control Rectifier Thyristor Electronics Circuitry & Parts,https://udvabony.com/product/bt151-12a-500v-triac/
1204,u1204,4WD Smart Robot Car Chassis 4WD RC Car 4WD Car Chassis 4WD 2 Layer Smart Robot Car Acrylic Chassis Plate 26cm Kit Without Battery Holder For Arduinos Uno R3 Project,799.0,BDT,yes,Robotics Parts & Drones Parts | Frame & Chassis Kits,Smart Robot Car Chassis Kit 4WD Multi-Functional 4WD Smart Robot Car Double Layer Acrylic Chassis Plate 26cm Kit Without Battery Holder,https://udvabony.com/product/4wd-smart-car-chassis/
1210,u1210,1 Inch Mini One Inch Nylon Caster Wheel 1 Inch Caster Wheel Tools Without Bearing & Without Lock For Smart Robot Car Wheel Project,30.0,BDT,yes,Caster Wheel,Mini One Inch Nylon Caster Wheel 1″ Inches Without Bearing & Without Lock For Smart Robot Car Wheel Engineering Project,https://udvabony.com/product/1-inch-round-polypropylene-caster-wheel/
1212,u1212,12V 2A NORMAL Quality 2A 12V Chargers Adapters AC 220V To DC 12V 2A US Plug Power Supply Adapter Charger 2A Charger 12V Adapters 2A,90.0,BDT,yes,"Charger, SMPS & Circuit | Chargers",12V 2A Normal Quality AC 220V To DC 12V 2A Power Supply Adapters Charger For CCTV Camera LED Strip Light Router,https://udvabony.com/product/12v-2a-power-adapter/
1215,u1215,12V 10Amp SMPS AC 220V To DC 12V 10A 120W Switching Mode Power Supply Adapters Charger SMPS Power Supply 12V 10A For Industrial 3D Printers CNC Machine 10A 12V SMPS,740.0,BDT,yes,"Charger, SMPS & Circuit | SMPS",SMPS AC 220v To DC 12v 10A 120W Switching Mode Power Supply Adapter Charger For Industrial Camera All Kinds Of Electronic Projects,https://udvabony.com/product/12v-10a-switching-power-supply/
1225,u1225,GREEN Color DC DC Step Up 0.9V-5V To 5V 600mAh Boost Converter Power Supply Module Battery Charger Voltage Module USB Output Charging Circuit.,55.0,BDT,yes,"Charger, SMPS & Circuit | Buck & Boost Module | Modules",DC DC Step Up 0.9V-5V To 5V 600mAh Boost Converter Power Supply Module Battery Charger Voltage Module USB Output Charging Circuit.,https://udvabony.com/product/0-9v-5v-dc-dc-boost-module/
1227,u1227,ATMEGA8A-PU ATMEGA8A Microcontroller ATMEGA8 IC 16MHz DIP 28 Pin Leads AVR Microcontroller IC,220.0,BDT,yes,"Microcontroller, ICs & Base | AVR ATMega ATTiny",ATMEGA8A-PU ATMEGA8A ATMEGA8 16MHz 8KB 8-Bit DIP 28 Pin Atmel Atmega AVR Microcontroller IC For Electronics Programable Project,https://udvabony.com/product/atmega8a-28-pin-16mhz-8kb-8-bit/
1229,u1229,WARM White 8mm Diameter WARM White Color 3W 3.7V Ultra Bright WARM White LED 3W COB LED SMD Chip 3.7V LED Light Bulbs WARM White Light 3W 3.7V COB LED Light,4.0,BDT,yes,"LED, Laser, LDR & Driver | COB LED SMD Chip",WARM White 8mm Diameter WARM White Color 3W 3.7V Ultra Bright WARM White LED 3W COB LED SMD Chip 3.7V LED Light Bulbs,https://udvabony.com/product/warm-white-8mm-3w-3-7v-warm-white-led-3w-cob/
1231,u1231,4×3 Keypad Keyboard 3×4 Membrane Switch 3×4 Matrix Keypad 12 Key Thin & Flexible With Cable & Connector 4×3 Keypad For Arduino,60.0,BDT,yes,Switch & Relays | Keypads,4×3 Keypad Keyboard 3×4 Membrane Switch Matrix Keypad 12 Key Thin & Flexible With Cable Connector & Adhesive Back For Easy Surface Attach,https://udvabony.com/product/3x4-flexible-keypad/
1235,u1235,24LC256P IC 24LC256 Serial CMOS EEPROM 256KB 32Kx8 Serial 24LC256P EEPROM IC DIP-8 8 Pin Leads Package IC,75.0,BDT,yes,"Microcontroller, ICs & Base | EEPROM IC",24LC256P 24LC256 Serial CMOS EEPROM 32Kx8 Microchip Serial EEPROM IC DIP-8 Package I2C Bus IC,https://udvabony.com/product/24lc256-serial-cmos-eeprom/
1237,u1237,100uH Radial Inductor 100uH Inductor Magnetic Core Ferrite Core Inductor 100uH Power Inductor 2 Pin Leads,8.0,BDT,yes,"Crystals, Diodes & Inductors | Inductors",Radial Inductor 100uH Magnetic Core Ferrite Drum Core Choke Power Inductor Through Hole Lead For PCB Board Electronics Projects DIY,https://udvabony.com/product/100uh-lead-inductor-810mm/
1240,u1240,G15N60 IGBT Transistors PNP G15N60 IC 600V 15A Fast IGBT TO-247 Package G15N60 Transistor IGBT G15N60 15A 600V IGBT 3 Pin Leads 160W IGBT MOSFET,140.0,BDT,yes,MOSFETs & IGBTs | IGBTs,G15N60RUFD SGW15N60 G15N60 15N60 IGBT 600V 15A 160W TO-247 Triode Power IGBT Transistor MOSFET Field Effect Transistor IGBT,https://udvabony.com/product/g15n60-600v-15a-160w-igbt-to-3p/
1242,u1242,Mini GA6 A6 GPRS GSM Module SMS Voice Development Board Wireless Data Transmission With Antenna Module For Arduino Replace SIM800L,550.0,BDT,yes,GSM/GPS/GPRS & Wireless | GSM/GPS/GPRS Module,Mini GA6 A6 GPRS GSM Module SMS Voice Development Board Wireless Data Transmission With Antenna Module For Arduino Replace SIM800L,https://udvabony.com/product/a6-mini-gsm-module/
1247,u1247,5V LCD Display 2004 LCD Display LCD2004 20×4 LCD Display DC 5V Blue Backlight Screen LCD 20×4 Character 2004 Display For Arduino IIC I2C,440.0,BDT,yes,Display | LCD & TFT Display,5V LCD Display LCD2004 2004 20×04 DC5V LCD Display Monitor Character Blue Backlight Screen LCD 2004 IIC I2C For Arduino LCD Display,https://udvabony.com/product/lcd2004-5v-blue-backlight/
1254,u1254,F-O 12Pin Female To Open Cable Connector 12 Pin 2.54mm Pitch JST Cable Connector 27cm Wire Cable 12 Pin Female Header For Audio Video Sound Electronics Cables,90.0,BDT,yes,"Connectors, Cables, Header, Jack & Socket | Connector & Cable Wires",Female To Open 12 Pin 2.54mm Pitch JST XH Connector 27cm Wire With Cable For Electronics Engineering Projects Audio Video Sound Cable,https://udvabony.com/product/12-female-to-male-flexible-cable-for-lcd/
1256,u1256,USB To RS232 Cable CH340 Chip Serial USB To RS232 DB9 Converter 9 Pin Adapters USB To RS232 Converter Cable COM Port For Win7/8,380.0,BDT,no,Computer & Mobile | Computer Accessories,Professional USB 2.0 To RS232 Chipset CH340 Serial Converter DB9 9 Pin Adapter CH 340 To RS232 COM Port For Win7/8,https://udvabony.com/product/ch340-usb-serial-cable/
1258,u1258,1KG 1.75mm White Color PLA Filament For 3D Printers,1999.0,BDT,yes,CNC & 3D & Motor Joint | 3D Filament,"PLA is a very common material used in 3d printing because of loose temperature requirements during extrusion. Future Electronics Egypt acquired 1.75 mm , 1KG roll in white ,red and green colors for 3d printers builders and operators.",https://udvabony.com/product/1-75mm-1kg-white-color-3d-printer-filament/
1260,u1260,1Pair- 8045 8045R 8×4.5 Inch Carbon Fiber Nylon Rotating Fans With Washer Mini Fan 8045 Motor Fan 2 Pcs Set For F450 F550 Propeller,99.0,BDT,yes,Robotics Parts & Drones Parts | Propeller,Multi Rotor Propeller 8045 8045R 8×4.5 Inch Fan CW & CCW Glass Fiber Nylon 1-Pair Propeller For FPV Racing Drone RC Quadcopter Drone .,https://udvabony.com/product/propeller-8045-8045r-inch-cw-ccw/
1264,u1264,18650 Battery ULF NORMAL Quality 3.7V Rechargeable Battery 18650 Rechargeable Battery 3.7V Rechargeable Battery Lithium Battery 3.7V Battery For Power Bank Laptop Battery,65.0,BDT,yes,Battery & Battery Holder | Battery | 18650 Battery,Normal Quality 18650 3.7V Lithium-ion Rechargeable Battery For Power Bank Power Pack LED Torch Car Toys Laptop Battery DIY,https://udvabony.com/product/3-7v-3000-mah-18650-rechargeable-li-ion/
1266,u1266,DIP UNO Arduino Uno R3 Development Board Microcontroller Based On ATmega328 With USB Cables Arduino Uno R3 Microcontroller Arduino Uno Starter Kit,650.0,BDT,yes,Arduino | Arduino Boards,DIP UNO Arduino Uno R3 Development Board Microcontroller Based On ATmega328 With USB Cables For Arduino Electronics Circuitry & Parts,https://udvabony.com/product/arduino-uno-r3/
1268,u1268,Rubber Duck GSM Antennas 2dBi WiFi Antenna SMA Male Connector 2G Rubber Duck Antenna L Type SMA 2dBi 433MHZ Omni-Directional Antenna Electrical Circuitry & Parts,160.0,BDT,yes,GSM/GPS/GPRS & Wireless | Bluetooth & Antennas,Rubber Duck GSM Antenna 2dBi WiFi Antenna SMA Male Connector 2G Rubber Duck Antenna L Type SMA 2dBi 433MHZ Omni-Directional,https://udvabony.com/product/antenna-gsm-2dbi-rubber-duck-r-a-sma/
1297,u1297,2.4G 4G 433MHz Wifi Antenna ZigBee Bluetooth Glue Stick Omni-directional External Small Folding Antenna SMA Inner Needle,199.0,BDT,yes,GSM/GPS/GPRS & Wireless | Bluetooth & Antennas,Antenna 433MHz 3dBi Lora SMA Male Connectors Aerial Antenna SMA Female SMA Antenna LoRa 3dBi 433MHz Omni-Directional,https://udvabony.com/product/2-dbi-anttena-for-lora-board/
1300,u1300,Wired GSM PCB Antennas 2.4GHz 2.5dBi Built In PCB Antenna Module For Electronics Engineering Project DIY GSM Antenna Electrical Circuitry & Parts,110.0,BDT,yes,GSM/GPS/GPRS & Wireless | Bluetooth & Antennas,Wired GSM PCB Antenna 2.4G 2.5db Built In PCB Antenna Module For Electronics Engineering Project DIY GSM Antenna,https://udvabony.com/product/2-4g-2-5db-built-in-pcb-antenna-module/
1306,u1306,SMA GPS Flat Blade Antenna Frequency 915 MHz With 3M Adhesive Sticker Mount Patch Antenna,299.0,BDT,yes,GSM/GPS/GPRS & Wireless | Bluetooth & Antennas,SMA GPS Flat Blade Antenna Frequency 915 MHz With 3M Adhesive Sticker Mount Patch Antenna For Electronics Project,https://udvabony.com/product/blade-gsm-antenna-915mhz/
1308,u1308,18650 Battery 3.7V Rechargeable Battery 18650 Rechargeable Battery 3.7V Rechargeable Battery Lithium Battery 3.7V Battery For Power Bank Laptop Battery,80.0,BDT,yes,Battery & Battery Holder | Battery | 18650 Battery,Best Quality 18650 3.7V 5800mAh Lithium-ion Rechargeable Battery For Power Bank Power Pack LED Torch Car Toys Laptop Battery DIY,https://udvabony.com/product/18650-3-7v-lithium-ion-rechargeable-battery/
1310,u1310,APM2.8 APM 2.8 Radio Control Multi Copter Flight Control Board With 6M Case GPS Compass For DIY FPV RC Multirotor Drone,5800.0,BDT,no,,APM2.8 APM 2.8 Radio Control Multi Copter Flight Control Board With 6M Case GPS Compass for DIY FPV RC Multirotor Drone,https://udvabony.com/product/apm2-8-flight-controller-neo-6m-gps-module/
1312,u1312,Arduino DUE R3 32 Bit ARM Cortex-M3 Compatible Development Board With USB Cable For Electronics Engineering Project And Industry,0.0,BDT,no,,Arduino DUE R3 32 Bit ARM Cortex-M3 Compatible Development Board With USB Cable For Electronics Engineering Project And Industry,https://udvabony.com/product/arduino-due-r3-2/
1316,u1316,Arduino LEONARDO R3 ATMEGA32U4 Leonardo R3 Microcontroller Atmega32u4 Development Board With USB Cables Arduino Compatible DIY Evaluation Board,1899.0,BDT,yes,Arduino | Arduino Boards,ATmega32u4 Arduino Leonardo Evaluation Board Arduino MCU Development Board,https://udvabony.com/product/arduino-leonardo-atmega32u4/
